"Author","gender_guessed","Title","gender_fixed","nationality1","nationality2","nationality3","nationality4","Country.Chosen","n","Source","country_chosen"
".Lewis Carroll","unknown","Alice in Wonderland / Through the Looking-Glass / The Hunting of the Snark.","male","English","","","","English",NA,"Other",NA
"A Yi","unknown","A Perfect Crime","male","Chinese","","","","Chinese",1,"Viki",NA
"A. Kendra Greene","unknown","The Museum of Whales You Will Never See: And Other Excursions to Iceland's Most Unusual Museums","female","American","","","","American",1,"Viki",NA
"A.A. Milne","unknown","Winnie-the-Pooh (Winnie-the-Pooh, #1)","male","British","","","","British",4,"Adam",NA
"A.J. Baime","unknown","The Accidental President: Harry S. Truman and the Four Months That Changed the World","male","American","","","","American",1,"Maggie",NA
"A.J. Finn","unknown","The Woman in the Window","male","American","","","","American",2,"Liz",NA
"A.K. Benedict","unknown","Jonathan Dark or The Evidence Of Ghosts","female","English","","","","English",1,"Viki",NA
"A.S. Byatt","unknown","Elementals: Stories of Fire and Ice","female","British","","","","British",6,"Adam",NA
"A.S. King","unknown","Ask the Passengers","female","American","","","","American",1,"Stephanie",NA
"Abbi Jacobson","unknown","I Might Regret This: Essays, Drawings, Vulnerabilities, and Other Stuff","female","American","","","","American",1,"Viki",NA
"Abbi Waxman","unknown","The Bookish Life of Nina Hill","female","American","","","","American",6,"Liz",NA
"Abhijit V. Banerjee","unknown","Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty","male","American","","","","American",1,"Josh_Z",NA
"Abi Daré","unknown","The Girl with the Louding Voice","female","Nigerian","","","","Nigerian",1,"Bernadette",NA
"Abigail Hing Wen","female","Loveboat, Taipei (Loveboat, Taipei, #1)","female","American","","","","American",1,"Viki",NA
"Abigail Ulman","female","Hot Little Hands","female","Australian","","","","Australian",1,"Viki",NA
"Abir  Mukherjee","female","A Rising Man (Sam Wyndham, #1)","female","British","","","","British",3,"Viki",NA
"Abraham   Verghese","male","Cutting for Stone","male","American","Indian","","","Indian",5,"Corinne",NA
"Achy Obejas","female","The Tower of the Antilles","female","Cuban","American","","","Cuban",NA,"Other",NA
"Ada Palmer","female","Too Like the Lightning (Terra Ignota, #1)","female","American","","","","American",3,"Ben_Goldsmith",NA
"Adam Braun","male","The Promise of a Pencil: How an Ordinary Person Can Create Extraordinary Change","male","American","","","","American",1,"Stephanie",NA
"Adam Brookes","male","Night Heron (Philip Mangan #1)","male","Canadian","","","","Canadian",1,"Andrea",NA
